GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,314M300US1698023844,1698023844,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Gary, IN Metro Division","Gary, IN Metro Division",708070,708119,708150,707918,706592,705703,705941,703211,701468,701621
0100000US,,United States,314M300US1698029404,1698029404,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Lake County-Kenosha County, IL-WI Metro Division","Lake County-Kenosha County, IL-WI Metro Division",869888,869821,870898,868364,869411,871747,872393,872827,872804,872041
0100000US,,United States,310M300US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",220000,220002,219957,220003,220969,221768,223629,224818,226525,229294
0100000US,,United States,310M300US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114686,2117729,2122544,2128106,2136269,2146562,2155674,2166029,2179082
0100000US,,United States,310M300US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260635,261619,264163,274004,272031,276442,279865,280843,285042
0100000US,,United States,310M300US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115758,115913,116583,117674,118383,119501,120565,121177,122317
0100000US,,United States,310M300US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077271,2075557,2068991,2064711,2065844,2066227,2062842,2060065,2058844
0100000US,,United States,310M300US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138464,138856,140881,142071,143887,146556,149414,153144,157637
0100000US,,United States,310M300US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228668,229449,231451,234126,237820,242533,250138,254230,258044
0100000US,,United States,310M300US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645615,650299,659959,668271,677296,685223,695830,710746,723878
0100000US,,United States,310M300US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162643,163168,166019,168674,170937,172787,174395,176555,178271
